郝寿臣	马富禄	合作	马连良饰赵廉，马富禄、朱琴心、郝寿臣、王蕙芳合作演出。
黄秋燕	李连杰	夫妻	与黄秋燕1982年李连杰拍摄《少林寺》，一举成名。
金正日	金正男	父母	金正男，朝鲜开国领袖金日成的孙子，金正日长子，朝鲜的第三代领导人金正恩的哥哥，但并非正
李立三	周恩来	unknown	犯左倾错误李立三和李莎及子女1930年9月24日，党中央在瞿秋白、周恩来等的领导
术赤	拔都	父母	术赤-家庭长子斡儿答次子拔都儿子别儿哥儿子昔班儿子秃花帖木儿，克里米亚汗
包兆龙	包玉刚	父母	捐赠1千万美元，用来建造一座现代化的图书馆，惟一的要求也是以包兆龙命名……但是令包玉刚父子始料不及的是：他们的热心肠遇到了冷面孔。
郭永	郭女王	父母	-人物介绍郭女王郭女王祖上世代为长吏，父亲郭永官至南郡太守，母亲为堂阳君董氏。
双儿	韦小宝	夫妻	韦小宝定会求小皇帝饶了双儿，自己愿意抵命。
周总理	万冬儿	父母	据说，当地的农民不忍心将周总理生母万冬儿的坟平掉，就悄悄的把她的棺柩抬到距周家祖坟地东南方向约300
薄熙永	薄熙宁	兄弟姐妹	券股份有限公司独立董事薄熙宁北京六合兴集团有限公司董事长薄熙永-图册聽薄熙永与薄一波、薄熙来的珍贵照片（点击图片查看大图）聽聽聽聽聽聽聽
李宗盛	林忆莲	夫妻	当年李宗盛和林忆莲离婚时，朱卫茵曾致电李宗盛慰问。
耿志远	耿飚	父母	去世时，时任福建省省长的耿飚和习近平的儿子耿志远一起捡起耿飚的骨灰，装入骨灰盒。
谭小培	谭元寿	祖孙	夹在两头红的中间，京剧界对他素有“少年公子老封翁”之称，认为谭小培是很有福气的人，不仅培养了孙子谭元寿，还怀抱过曾孙谭孝曾。
刘婉华	魏巍	unknown	长子魏巍在一家银行做白领，次子魏屹现在一所著名大学读研究生，魏文亮和夫魏文亮人刘婉华也经常往返于澳洲和天津之间。
贾赦	贾母	父母	出场，在第四十六回“尴尬人难免尴尬事鸳鸯女誓绝鸳鸯偶聽”中，邢夫人想讨贾母的大丫环鸳鸯为妾，贾赦找鸳鸯劝说，后遭贾母斥讽方才作罢。
唐杰忠	刘伟	unknown	、戴志诚《着急》表演者：唐杰忠、姜昆《传谣》表演者：马季、姜昆、赵炎、刘伟《照相》表演者
